fr,mc,phonetic,cat
bruissement,brunz.iyu,,nom
bruit,burdelu,,nom
brûler,brüjà,,verbe
se brûler,se brüjà,,verbe
brûlure,brüjaüra,,nom
brume,garbin,,nom
brume marine,s.f,,nom
brumeux,garbinusu,,adjectif
brun,brün inv. (f. brüna),,adjectif
brunâtre,brünastru,,adjectif
brune,antebrün,,nom
brunir,brüni,,verbe
brusque,brüscu,,adjectif
brusquer,brüscà,,verbe
brusquerie,brüscaria,,nom
brut,natürale,,adjectif
brut,grussiè,,adjectif
brutal,brütale,,adjectif
brutalement,brütalamente,,adjectif
brutalité,brütalità,,nom
brute,bestia,,nom
bruyant,rümurusu,,adjectif
bruyère,brügu,,nom
buanderie,büandaria,,nom
buandière,bügadiera,,nom
bûche,tocu de boscu,,nom
bûche (chute),sbatu,,nom
bûcher,rog'u,,nom
bûcheron,büscayolu,,nom
bûchette,büsca,,nom
buffet,büfe,,nom
buffie,büfaru,,nom
buis,busciu,,nom
buisson,baragnassu,,nom
entrer dans les buissons,s'ümbaragnà,,autre
burnous,bürnus,,nom
buse (oiseau),puiana,,nom
buse (tuyau),tübu,,nom
buste,büstu,,nom
bulle (gaz),bofa,,nom
bulle (sceau),bulu,,nom
but,çibla,,nom
bulletin,bületin,,nom
buraliste (tabac),tabachin,,nom
bure,büra,,nom
bureau (local),büreu,,nom
bureau de tabac,sm,,autre
bureau (meuble),bürô,,nom
burette,büreta,,nom
burin,bürin,,nom
buter,üncaussà,,verbe
se buter,s'üncaussà,,verbe
butin,bütin,,nom
butiner,bütinà,,verbe
butte,culina,,nom
buvard,cartasciüga,,nom
buvette,büveta,,nom
