fr,mc,phonetic,cat
s'affliger,s'afligià,,verbe
affluence,aflüença,,nom
affluer,aflüi,,verbe
affolement,afulamentu,,nom
affoler,afulà,,verbe
s'affoler,s'afulà,,verbe
affranchi,afranchiu,,adjectif
affranchir,afranchi,,verbe
affranchir,liberà,,verbe
affranchir,redime,,verbe
s'affranchir,s'afranchi,,verbe
affranchissement,afranchimentu,,nom
affréter,nulegià,,verbe
affreux,afrusu,,adjectif
affront,afrontu,,nom
affronter,afruntà,,verbe
s'affronter,s'afruntà,,verbe
affût (canon),afüstu • affût (attente),,nom
afin,afin; afin que,,particule
africain,african - Africain,,adjectif
Afrique,Africa,,nom
agacer,agaçà,,verbe
agave,spingardu,,nom
âge,age,,nom
âgé,agiau,,adjectif
Agel (mont),Agè,,nom
agence,agençia,,nom
agenouiller (s'),s'ünzenuyà,,verbe
agenouiller (s'),se zenuyà,,verbe
agent,agente,,nom
agglomération,aglumeraçiun,,nom
agglutiner,aglütinà,,verbe
aggravation,agravaçiun,,nom
aggravation,pegiurnçiun,,nom
aggraver,agravà,,verbe
agilité,agilità,,nom
agir,agi,,verbe
agitation,agitaçiun,,nom
agiter,agità,,verbe
s'agiter,se demenà,,verbe
agneau,agnelu,,nom
agneler,agnelà,,verbe
agonie,agunia,,nom
agonisant,agonisante,,adjectif
agoniser,agunisà,,verbe
agoniser,buchcsà,,verbe
agrafe,sgrafa,,nom
agrandir,üngrandi,,verbe
s'agrandir,s'üngrandi,,verbe
agrandissement,üngrandimentu,,nom
agrément,gradimentu,,nom
agresseur,agressù,,nom
agricole,agriculu,,adjectif
agriculteur,agricüllù,,nom
agriculture,agricültüra,,nom
agripper,agripà,,verbe
agripper,üngancià,,verbe
s'agripper,s'agripà,,verbe
agrume,agrüme,,nom
aguerrir,agherrl,,verbe
s'aguerrir,s'agherri,,verbe
ah,ah ! ahi,,salutation
aide (secours),agiütu,,nom
aide (assistant),assistcnte,,nom
aider,agiütà,,verbe
aïeul,avu,,nom
aigle,aigla,,nom
aigre,agru,,adjectif
aigrefin,ümbruyun,,nom
aigreur,aigrù,,nom
aigrir,aigri,,verbe
s'aigrir,s'aigri,,verbe
aigu,punciüu ; sm,,adjectif
aiguille,agüya,,nom
aiguillée,agüyà,,nom
aiguillon,punziyun,,nom
aiguillonner,punziyà,,verbe
aiguiser,murà,,verbe
aiguiseur,muleta,,nom
ail,ayu,,nom
aile,ara,,nom
ailleurs,d'autra parte,,adjectif
ailloli,ayoli,,nom
aimable,amabilc,,adjectif
aimablement,amabilmente,,adjectif
aimant,calamita ; sf,,nom
aimer,aimà,,verbe
s'aimer,s'aimà,,verbe
aîné,primugenitu,,adjectif
ainsi,cusci,,adjectif
air (gaz),aria ; sf,,nom
air (mine),aspèctu,,nom
airain,aramu,,nom
aire,süperficie,,nom
aisance,csança,,nom
aisance,facilità,,nom
aiselle,ascela,,nom
ajourner,remandà,,verbe
ajouter,asuntà,,verbe
ajouter,asunze,,verbe
ajouter,azunze,,verbe
