fr,mc,phonetic,cat
*morveux,narvelusu,,adjectif
*mot,sf parola,,nom
motif,sf ragiun,,nom
motte,muta,,nom
mouchard,s.f spia,,nom
* moucher,vpr. se,,verbe
moudre,murinà,,verbe
moue,smorfia,,nom
(poulie),s,,nom
* mouiller,vpr. se,,verbe
moule (coquillage),arsela •,,nom
moule (modèle),sf furma,,nom
moule à tourte,fœya,,nom
mouler,carcà,,verbe
moulinet,turnichetu,,nom
* mourir,crepà,,verbe
*mousse,sm. mussi - mousse,,adjectif
mousser,scciümà,,verbe
moustache,mustassi sm.pl,,autre
première moustache,mustassin,,autre
moustiquaire,sinçariera,,nom
moustique,sinçara sf,,nom
mouton sm,sf,,nom
mouvant a,muvente,,nom
mouvement sm,motu,,nom
mouvoir v,se move,,nom
moyen a,mesu,,nom
mufle a,müsu,,autre
mule (équidé) sf,pantufla,,nom
mulet (équidé) sm,müsaru,,nom
multiple a,nümerusu - multiple sm,,nom
multiplier v,se mültiplicà,,nom
municipal a,rnünicipale,,autre
municipalité sf,münicir>n lità,,nom
munir v,se müni,,nom
mur sm,müraya,,nom
mûre (du mîtrier) sf,sauça - mûre (du roncier) sf,,nom
mûrier (du ver à soie) sm,sauçera sf. - mûrier (roncier) sm,,nom
mûrir v,stagiunà,,nom
murmure sm,murmuriu,,nom
murmurer v,murmurà,,autre
muscat a,muscatu,,nom
museau sm,murru,,nom
muscJer v,ünmurrayà,,nom
muselière sf,murrayu,,nom
musette (sac) sf,curnamüsa,,autre
myrte sm,sf,,nom
myrtille sf,ügheta,,nom
mutinerie sf,sm,,nom
mutuelle sf,mütüa,,nom
mystifier v. abüsà,del üde,,autre
mythologique,mitulogicu,,adjectif
