fr,mc,phonetic,cat
chapelle,capela,,nom
chapellerie,capelaria,,nom
chapiteau,capitelu,,nom
chapitre,capitulu,,nom
chapon,capun,,nom
chaque,cada,,adjectif
char,carru,,nom
char à banc,ciarraban,,nom
charade,ciarada,,nom
charançon,curcussun,,nom
charbon,carbun,,nom
charbonneux,carbunusu,,adjectif
charbonnier,carbunin,,nom
charbonnière,carbunera,,nom
charcuter,tayüçà,,verbe
charcuterie,ciarcütaria,,nom
charcutier,ciarcütè,,nom
chardon,cardu,,nom
chardonneret,cardelina,,nom
charge (fardeau),carga,,nom
charge d'une bouche à feu,sf,,autre
charge (fonction),üncargu,,nom
charge (assaut),carga,,nom
chargé,cargu,,adjectif
chargé de mission,üncargau de missiun,,nom
chargement,cargamentu,,nom
charger (mettre une charge sur),cargà,,verbe
se charger,se cargà,,verbe
se charger,s'üncargà,,verbe
chariot,carrclu,,nom
charitable,caritatevule,,adjectif
charité,carità,,nom
charivari,ciaraviyu,,nom
charlatan,ciarlatan,,nom
charlatanisme,ciarlatanismu,,nom
Charles,Carlu,,nom
charmant,üncantevule,,adjectif
charme (magie),üncantu,,nom
charmer,üncantà,,verbe
charnel,carnale,,adjectif
charnier,carniè,,nom
charnière,ciarniera,,nom
charnu,carnusu,,adjectif
charogne,carogna,,nom
charpente,ciarpanta,,nom
charpentier,ciarpantiè,,nom
charpie,scarpia,,nom
charretée,carretà,,nom
charretier,carretiè,,adjectif
charreton,carretun,,nom
charrette,carreta,,nom
charrier (transporter),carregià,,verbe
charrier (se moquer),piyà ün giru,,autre
charron,ciarrun,,nom
charrue,araire,,nom
charte,statütu,,nom
chartreuse,certüsa,,nom
chartreux,certüsin,,nom
chas,trau d'agüya,,nom
chasse,cacia,,nom
châsse,relicari,,nom
chasser,cacià,,verbe
chasseur,caciaire,,nom
chassieux,putinusu,,adjectif
châssis,sciassi,,nom
chaste,castu,,adjectif
chasteté,castità,,nom
chasuble,pianeta,,nom
chat,gatu,,nom
châtaigne,castagna,,nom
châtaignier,castagnè,,nom
châtain,castagnu,,adjectif
château,castelu,,nom
châtelain,castelan,,nom
chat-huant,nœciura,,nom
châtier,castigà,,verbe
chatière,gatunera,,nom
châtiment,castigu,,nom
chatouillement,gatiyu,,nom
chatouiller,gatiyà,,verbe
chatouilleux,süfiscu,,adjectif
châtrer,castrà,,verbe
chattemite,gata borgna,,nom
chatterie,landa,,nom
chaud,caudu,,nom
chaudière,caudiera,,nom
chaudron,paini,,nom
chaudronnier,magnin,,nom
chauffage,rescaudamentu,,nom
chauffe-lit,scaudaletu,,nom
chauffer,scaudà,,verbe
se chauffer,se scaudà,,verbe
chaufferette,scaufeta,,nom
chauffeur,cundütù,,nom
chauler,üncauçinà,,verbe
chaume,rastügia,,nom
chaussée,carradà,,nom
chausser,caussà,,verbe
se chausser,se caussà,,verbe
chaussette,caussa,,nom
chaussure,caussaüra,,nom
chauve,perau,,adjectif
chauve-souris,ratapignata,,nom
chaux,cauçina,,nom
chavirer,ciavirà,,verbe
chef,capu,,nom
chef-d'œuvre,capu d'opera,,nom
chélidoine,celidonia,,nom
chemin,camin,,nom
cheminée,ciamineia,,nom
cheminer,caminà,,verbe
cheminot,lèrruviè,,nom
chemise,camija,,nom
chenapan,birbante,,nom
chêne,rure,,nom
chènevis,canavuje,,nom
chenille,tora,,nom
chèque,assegnu,,nom
cher,caru,,adjectif
chercher,çercà,,verbe
se chercher,se çercà,,verbe
chercheur,çercatù,,nom
chéri,nin,,adjectif
chérir,aimà,,verbe
chétif,renaissu,,adjectif
personne chétive,scbirinçiu,,nom
cheval,cavalu,,nom
chevalet,cavaletu,,nom
chevalier,cavaliè,,nom
chevauchée,cavalcada,,nom
chevaucher,cavalcà,,verbe
chevet,testera,,nom
cheveu,caviyu,,nom
cheville (taquet),caviya,,nom
cheville pour fixer l'aviron (iole),scarmu,,autre
cheville (anatomie),caviya,,nom
chèvre,crava,,nom
chevreau,cravin,,nom
chèvrefeuille,cabrifœyu,,nom
chevrier,cravà,,nom
chevron,cabriun,,nom
chez,da,,particule
chic,scie,,nom
chicane (bisbille),cicanada,,nom
chicane (zigzag),scicana,,nom
chicane,cicanada,,nom
chicane,scicana,,nom
chicaner,cicanà,,verbe
se chicaner,se cicanà,,verbe
chicanerie,cicanaria,,nom
chicaneur,cicanaire,,adjectif
chiche (ladre),avaru,,adjectif
chiche (pois),scaru,,nom
chicorée,cicoria,,nom
chien,can,,nom
chiendent,gramigna,,nom
chier,cagà,,verbe
envie de chier,caghœgna,,nom
chiffon,cifun,,nom
chiffonnier (fripier),straçiè,,nom
chiffonnier (meuble),cumudcta,,nom
chiffre (numéro),cifra,,nom
chiffre (initiales),iniçiale,,nom
chiffrer,cifrà,,verbe
chignon,ciciu,,nom
chimère,chimera,,nom
chimérique,chimericu,,adjectif
chimie,chimica,,nom
chimique,chimicu,,adjectif
chimiste,chimicu,,nom
Chine,China,,nom
chinois,chinese,,adjectif
chinois (fruit),chinotu,,nom
chinois,chinotu,,nom
chiourme,ciurma,,nom
chique,cica,,nom
chiquer,cicà,,verbe
chirurgie,scirürjia,,nom
chirurgien,scirürjien,,nom
chiure,cagarela,,nom
chlamyde,clamide,,nom
chlore,cloru,,nom
chlorure,clurüru,,nom
choc,ürtu,,nom
chocolat,ciculata,,nom
chocolaterie,ciculataria,,nom
chocolatier,ciculatiè,,nom
chœur,coru,,nom
enfant de chœur,cerghetu,,autre
choir,tumbà,,verbe
choisir,sciuasi,,verbe
choix,scernia,,nom
choléra,cotera,,nom
chômer,iesse sença travayu,,verbe
chômeur,scnça travayu,,nom
choquer (de choc),ürtà,,verbe
choquer (contrarier),cuntrarià,,verbe
chorale,curala,,nom
choriste,curista,,nom
chose,cosa,,nom
chou,coru,,nom
chouette,nœciura,,nom
chrême,crisma,,nom
chrétien,cristian,,adjectif
Christ,Cristu,,nom
christianisme,cristianismu,,nom
chronique,cronicu,,adjectif
chronique,cronica,,nom
chronologie,crunulugia,,nom
chronomètre,crunumetru,,nom
chrysanthème,crisantema,,nom
chuchoter,bisbiyà,,verbe
chut,sci üt,,salutation
chute (culbute),sbatu,,nom
chute (culbute),stramacu,,nom
chute,sbatu,,nom
chute,stramacu,,nom
chute (fin / terme),fin,,nom
chute (fin / terme),termine,,nom
chute,fin,,nom
chute,termine,,nom
ci,aiçl,,adjectif
cet homme-ci,st'omu d'aiçl,,autre
cible,mira,,autre
faire cible sur un gibier,castagnà,,autre
ciboire,çibori,,nom
cicatrice,çicatriça,,nom
cicatriser,çicatrisà,,verbe
se cicatriser,se çicatrisà,,verbe
cidre,çidru,,nom
ciel,cclu,,nom
cierge,çiergc,,nom
cigale,çigala,,nom
cigale de mer,maciota,,nom
cigare,çigara,,nom
cigarette,çigarcta,,nom
cil,çi,,nom
cilice,çi liçi,,nom
ciller,çiyà,,verbe
cimaise,çimasa,,nom
cime,çima,,nom
ciment,çiman,,nom
cimenter,çimentil,,verbe
cimetière,çementcri,,nom
cinabre,çenüvrc,,nom
cinéma,çi nemà,,nom
cinéraire,cinera ria,,nom
cinq,çinqe,,adjectif
en cinq sec,ün qatru e qatru œtu,,autre
cinquantaine,çinqantcna,,nom
cinquantenaire,çinqantenari,,nom
cinquième,qinlu,,nom
cintre (arc),çentru,,nom
cirage,çirage,,nom
circoncision,çircunçisiun,,nom
circonférence,çircunferença,,nom
circonscription,çircunscriçiun,,nom
circonscrire,çircunscrivc,,verbe
circonspect,circunspetu,,adjectif
circonspection,circunspcçiun,,nom
circonstance,circunstança,,nom
circonvenir,circunvegnl,,verbe
circonvolution,circunvulüçiun,,nom
circulaire,çircülare,,nom
circulation,çircülaçiun,,nom
circuler,çircülà,,verbe
circ,çira,,nom
cirer,çirà,,verbe
cirque,circu,,nom
cisailler,stcsuirà,,verbe
ciseau,çiseu,,nom
cieler,çiselà,,verbe
ciselure,çiselüra,,nom
ciste,müssüga,,nom
citadelle,çitadela,,nom
citation,çitaçiun,,nom
cité,cità,,nom
citer,çità,,verbe
citer en justice,üntacà,,autre
citerne,çisterna,,nom
cithare,çitai'a,,nom
citoyen,citadin,,nom
citrate,çitratu,,nom
citrique,çitricu,,adjectif
citron,limun,,nom
citronnelle,limuneta,,nom
citronnier,limunè,,nom
civière,çiviera,,nom
civil,çivile,,adjectif
civilisation,çivilisaçiun,,nom
civilisé,çivilisau,,adjectif
civiliser,çivilisà,,verbe
civilité,çivilità,,nom
civisme,çivismu,,nom
claie,graya,,nom
clair,cia iru,,adjectif
clairon,clerun,,nom
claironner,clcrunà,,verbe
clairsemé,raru,,adjectif
clairvoyance,perspicacità,,nom
clamer,clamà,,verbe
clan,cumbricula,,nom
clapier (à lapins),lapinera,,nom
clapotis,cascaiun,,nom
• claque,scciafu,,nom
• claquer,ciucà,,verbe
clarifier,ciairi,,verbe
clarinette,clarineta,,nom
clarinettiste,clarinetista,,nom
clarté,ciairù,,nom
• classe,classa,,nom
classer,classà,,verbe
classification,classificaçiun,,nom
classifier,classificà,,verbe
classique,classicu,,nom
clause,clausa,,nom
clavaire,spinelu,,nom
clavette,ciaveta,,nom
clavier,tastiera,,nom
• clef,ciave,,nom
clématite,sciaburra,,nom
clémence,clemença,,nom
clément,clemente,,adjectif
• clerc,cergu,,nom
clergé,cleru,,nom
clérical,clericalc,,adjectif
client,cliente,,nom
clientèle,clientela,,nom
clignoter,cügà,,verbe
climat,climà,,nom
climatique,climaticu,,adjectif
clin d'œil,bati d'œyu,,nom
clinique,clinicu,,adjectif
clique,crica,,nom
cliquet,crichetu,,nom
cloaque,cluaca,,nom
clochard,vagabundu,,nom
• cloche,campana,,nom
clocher,ranghesà,,verbe
clochette,campaneta,,nom
cloison,tramesà,,nom
cloitre,clastru,,nom
cloitrer,clastrà,,verbe
cloporte,purchetu de sant' Antoni,,nom
cloque,burfiga,,nom
clore,serrà,,verbe
clôture,clausüra,,nom
clôturer,resserrà,,verbe
• clou,ciodu,,nom
clouer,ünciudà,,verbe
clystère,clisteri,,nom
